Table No.,Table Name,Table Column,Column heading,Column description,Extended Description 
11,T11_Water_TraceElements_Unfiltered,L,Beryllium Unfiltered (micrograms/L),Beryllium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,M,Bismuth Unfiltered (micrograms/L),Bismuth concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,N,Calcium Unfiltered (mg/L),Calcium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,O,Cadmium Unfiltered (micrograms/L),Cadmium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,P,Cerium Unfiltered (micrograms/L),Cerium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Q,Cobalt Unfiltered (micrograms/L),Cobalt concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,R,Chromium Unfiltered (micrograms/L),Chromium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,S,Cesium Unfiltered (micrograms/L),Cesium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,T,Copper Unfiltered (micrograms/L),Copper concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,U,Dysprosium Unfiltered (micrograms/L),Dysprosium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,V,Erbium Unfiltered (micrograms/L),Erbium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,W,Europium Unfiltered (micrograms/L),Europium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,X,Iron Unfiltered (micrograms/L),Iron concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Y,Gadolinium Unfiltered (micrograms/L),Gadolinium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Z,Holmium Unfiltered (micrograms/L),Holmium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AA,Potassium Unfiltered (mg/L),Potassium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AB,Lanthanum Unfiltered (micrograms/L),Lanthanum concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AC,Lithium Unfiltered (micrograms/L),Lithium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AD,Lutetium Unfiltered (micrograms/L),Luetium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AE,Magnesium Unfiltered (mg/L),Magnesium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AF,Manganese Unfiltered (micrograms/L),Manganese concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AG,Molybdenum Unfiltered (micrograms/L),Molybdenum concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AH,Sodium Unfiltered (mg/L),Sodium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AI,Neodymium Unfiltered (micrograms/L),Neodymium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AJ,Nickel Unfiltered (micrograms/L),Nickel concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AK,Lead Unfiltered (micrograms/L),Lead concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AL,Praesodymium Unfiltered (micrograms/L),Praesodymium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AM,Rubidium Unfiltered (micrograms/L),Rubidium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AN,Rhenium Unfiltered (micrograms/L),Rhenium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AO,Sulfur Unfiltered (mg/L),Sulfur concentration in milligrams per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,AP,Antimony Unfiltered (micrograms/L),Antimony concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AQ,Scandium Unfiltered (micrograms/L),Scandium concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,AR,Selenium Unfiltered (micrograms/L),Selenium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AS,Silica Unfiltered (mg/L as SiO2),Silica concentration in milligrams per liter of sillicon dioxide in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AT,Samarium Unfiltered (micrograms/L),Samarium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AU,Tin Unfiltered (micrograms/L),Tin concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,AV,Strontium Unfiltered (micrograms/L),Strontium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AW,Tantalum Unfiltered (micrograms/L),Tantalum concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,AX,Terbium Unfiltered (micrograms/L),Terbium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AY,Tellurium Unfiltered (micrograms/L),Tellurium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AZ,Thorium Unfiltered (micrograms/L),Thorium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BA,Titanium Unfiltered (micrograms/L),Titanium concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,BB,Thallium Unfiltered (micrograms/L),Thallium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BC,Thulium Unfiltered (micrograms/L),Thulium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BD,Uranium Unfiltered (micrograms/L),Uranium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BE,Vanadium Unfiltered (micrograms/L),Vanadium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BF,Tungsten Unfiltered (micrograms/L),Tungsten concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,BG,Yttrium Unfiltered (micrograms/L),Yttrium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BH,Ytterbium Unfiltered (micrograms/L),Ytterbium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BI,Zinc Unfiltered (micrograms/L),Zinc concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,BJ,Zirconium Unfiltered (micrograms/L),Zirconium concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
12,T12_Sediment_TraceElements,A,Station Map ID,Map reference identification number ,
12,T12_Sediment_TraceElements,B,USGS Station Name,U.S. Geological Survey station name,
12,T12_Sediment_TraceElements,C,USGS Station Number,U.S. Geological Survey station number,
12,T12_Sediment_TraceElements,D,Date,Date sample was collected,
12,T12_Sediment_TraceElements,E,Time,Time sample was collected,
12,T12_Sediment_TraceElements,F,Sample Type,Type of sample that was analyzed,
12,T12_Sediment_TraceElements,G,"Aluminum, (weight percent)",Weight percent of aluminum in a sediment sample ,
12,T12_Sediment_TraceElements,H,"Arsenic, (micrograms/g)",Arsenic concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,I,"Boron, (micrograms/g)",Boron concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,J,"Barium, (micrograms/g)",Barium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,K,"Beryllium, (micrograms/g)",Beryllium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,L,"Bismuth, (micrograms/g)",Bismuth concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,M,"Calcium, (weight percent)",Weight percent of calcium in a sediment sample ,
12,T12_Sediment_TraceElements,N,"Cadmium, (micrograms/g)",Cadmium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,O,"Cerium, (micrograms/g)",Cerium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,P,"Cobalt, (micrograms/g)",Cobalt concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,Q,"Chromium, (micrograms/g)",Chromium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,R,"Cesium, (micrograms/g)",Cesium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,S,"Copper, (micrograms/g)",Copper concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,T,"Dysprosium, (micrograms/g)",Dysprosium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,U,"Erbium, (micrograms/g)",Erbium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,V,"Europium, (micrograms/g)",Europium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,W,"Iron, (weight percent)",Weight percent of iron in a sediment sample ,
12,T12_Sediment_TraceElements,X,"Gadolinium, (micrograms/g)",Gadolinium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,Y,"Holmium, (micrograms/g)",Holmium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,Z,"Potassium, (weight percent)",Weight percent of potassium in a sediment sample ,
12,T12_Sediment_TraceElements,AA,"Lanthanum, (micrograms/g)",Lanthanum concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AB,"Lithium, (micrograms/g)",Lithium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AC,"Lutetium, (micrograms/g)",Luetium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AD,"Magnesium, (weight percent)",Weight percent of magnesium in a sediment sample ,
12,T12_Sediment_TraceElements,AE,"Manganese, (micrograms/g)",Manganese concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AF,"Molybdenum, (micrograms/g)",Molybdenum concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AG,"Sodium, (weight percent)",Weight percent of sodium in a sediment sample ,
12,T12_Sediment_TraceElements,AH,"Neodymium, (micrograms/g)",Neodymium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AI,"Nickel, (micrograms/g)",Nickel concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AJ,"Phosphorus, (micrograms/g)",Phosphorus concentration in micrograms per gram of a sediment sample,"0, not determined"
12,T12_Sediment_TraceElements,AK,"Lead, (micrograms/g)",Lead concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AL,"Praesodymium, (micrograms/g)",Praesodymium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AM,"Rubidium, (micrograms/g)",Rubidium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AN,"Rhenium, (micrograms/g)",Rhenium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AO,"Sulfur, (weight percent)",Weight percent of sulfur in a sediment sample ,
12,T12_Sediment_TraceElements,AP,"Antimony, (micrograms/g)",Antimony concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AQ,"Scandium, (micrograms/g)",Scandium concentration in micrograms per gram of a sediment sample,"0, not determined"
12,T12_Sediment_TraceElements,AR,"Selenium, (micrograms/g)",Selenium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AS,"Samarium, (micrograms/g)",Samarium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AT,"Strontium, (micrograms/g)",Strontium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AU,"Terbium, (micrograms/g)",Terbium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AV,"Tellurium, (micrograms/g)",Tellurium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AW,"Thorium, (micrograms/g)",Thorium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AX,"Titanium, (weight percent)",Weight percent of titanium in a sediment sample ,
12,T12_Sediment_TraceElements,AY,"Thallium, (micrograms/g)",Thallium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,AZ,"Thulium, (micrograms/g)",Thulium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BA,"Uranium, (micrograms/g)",Uranium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BB,"Vanadium, (micrograms/g)",Vanadium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BC,"Yttrium, (micrograms/g)",Yttrium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BD,"Ytterbium, (micrograms/g)",Ytterbium concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BE,"Zinc, (micrograms/g)",Zinc concentration in micrograms per gram of a sediment sample,
12,T12_Sediment_TraceElements,BF,"Zirconium, (micrograms/g)",Zirconium concentration in micrograms per gram of a sediment sample,
13,T13_Invertebrates_TraceElements,A,Station Map ID,Map reference identification number ,
13,T13_Invertebrates_TraceElements,B,USGS Station Name,U.S. Geological Survey station name,
13,T13_Invertebrates_TraceElements,C,USGS Station Number,U.S. Geological Survey station number,
13,T13_Invertebrates_TraceElements,D,Date,Date sample was collected,
13,T13_Invertebrates_TraceElements,E,Common Name,Organism common name,
13,T13_Invertebrates_TraceElements,F,Order,Phylogenetic order for the invertebrate ,
13,T13_Invertebrates_TraceElements,G,Family,Phylogenetic family for the invertebrate ,
13,T13_Invertebrates_TraceElements,H,Sample Size,Number of organisms in the sample,
13,T13_Invertebrates_TraceElements,I,Total Sample Weight (g),Total weight of the sample in grams,
13,T13_Invertebrates_TraceElements,J,Average Weight (g),Average organism weight in grams,
13,T13_Invertebrates_TraceElements,K,Moisture (percent),Sample moisture in percent,
13,T13_Invertebrates_TraceElements,L,Aluminum (micrograms/g),Aluminum concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,M,Arsenic (micrograms/g),Arsenic concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,N,Boron (micrograms/g),Boron concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,O,Barium (micrograms/g),Barium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,P,Beryllium (micrograms/g),Beryllium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,Q,Calcium (micrograms/g),Calcium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,R,Cadmium (micrograms/g),Cadmium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,S,Cobalt (micrograms/g),Cobalt concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,T,Chromium (micrograms/g),Chromium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,U,Copper (micrograms/g),Copper concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,V,Iron (micrograms/g),Iron concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,W,Potassium (micrograms/g) ,Potassium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,X,Magnesium (micrograms/g),Magnesium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,Y,Manganese (micrograms/g),Manganese concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,Z,Molybdenum (micrograms/g),Molybdenum concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AA,Sodium (micrograms/g),Sodium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AB,Nickel (micrograms/g),Nickel concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AC,Phosphorus (micrograms/g),Phosphorus concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AD,Lead (micrograms/g),Lead concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AE,Sulfur (micrograms/g),Sulfur concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AF,Selenium (micrograms/g),Selenium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AG,Strontium (micrograms/g),Strontium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AH,Titanium (micrograms/g),Titanium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AI,Vanadium (micrograms/g),Vanadium concentration in micorgrams per gram of a sample of invertebrates,
13,T13_Invertebrates_TraceElements,AJ,Zinc (micrograms/g),Zinc concentration in micorgrams per gram of a sample of invertebrates,
14,T14_Fish_TraceElements,A,Station Map ID,Map reference identification number ,
14,T14_Fish_TraceElements,B,USGS Station Name,U.S. Geological Survey station name,
14,T14_Fish_TraceElements,C,USGS Station Number,U.S. Geological Survey station number,
14,T14_Fish_TraceElements,D,Date,Date sample was collected,
14,T14_Fish_TraceElements,E,Common Name,Organism common name,
14,T14_Fish_TraceElements,F,Genus and Species ,Genus and species of the sample,
14,T14_Fish_TraceElements,G,Sample Size,Number of organisms in the sample,
14,T14_Fish_TraceElements,H,Total Sample Weight (g) ,Total weight of the sample in grams,
14,T14_Fish_TraceElements,I,Average Weight (g),Average organism weight in grams,
14,T14_Fish_TraceElements,J,Moisture (percent),Sample moisture in percent,
14,T14_Fish_TraceElements,K,Aluminum (micrograms/g),Aluminum concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,L,Arsenic (micrograms/g),Arsenic concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,M,Boron (micrograms/g),Boron concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,N,Barium (micrograms/g),Barium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,O,Beryllium (micrograms/g),Beryllium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,P,Calcium (micrograms/g),Calcium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,Q,Cadmium (micrograms/g),Cadmium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,R,Cobalt (micrograms/g),Cobalt concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,S,Chromium (micrograms/g),Chromium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,T,Copper (micrograms/g),Copper concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,U,Iron (micrograms/g),Iron concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,V,Potassium (micrograms/g) ,Potassium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,W,Magnesium (micrograms/g),Magnesium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,X,Manganese (micrograms/g),Manganese concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,Y,Molybdenum (micrograms/g),Molybdenum concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,Z,Sodium (micrograms/g),Sodium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AA,Nickel (micrograms/g),Nickel concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AB,Phosphorus (micrograms/g),Phosphorus concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AC,Lead (micrograms/g),Lead concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AD,Sulfur (micrograms/g),Sulfur concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AE,Selenium (micrograms/g),Selenium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AF,Strontium (micrograms/g),Strontium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AG,Titanium (micrograms/g),Titanium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AH,Vanadium (micrograms/g),Vanadium concentration in micorgrams per gram of a sample of fish,
14,T14_Fish_TraceElements,AI,Zinc (micrograms/g),Zinc concentration in micorgrams per gram of a sample of fish,
15,T15_GeometricMean_MercuryConcentrations,A,Station Map ID,Map reference identification number ,
15,T15_GeometricMean_MercuryConcentrations,B,USGS Station Name,U.S. Geological Survey station name,
15,T15_GeometricMean_MercuryConcentrations,C,USGS Station Number,U.S. Geological Survey station number,
15,T15_GeometricMean_MercuryConcentrations,D,Latitude (NAD83),Station latitude referenced to the North American Datum of 1983,
15,T15_GeometricMean_MercuryConcentrations,E,Longitude (NAD83),Station longitude referenced to the North American Datum of 1983,
15,T15_GeometricMean_MercuryConcentrations,F,Geometric Mean Water Mercury Unfiltered (ng/L),Geometric mean mercury concentration of all unfiltered water samples from a particular site in nanograms per liter,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,G,Geometric Mean Water Mercury Filtered (ng/L),Geometric mean mercury concentration of all filtered water samples from a particular site in nanograms per liter,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,H,Geometric Mean Water Methylmercury Unfiltered (ng/L),Geometric mean methylmercury concentration of all unfiltered water samples from a particular site in nanograms per liter,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,I,Geometric Mean Water Methylmercury Filtered (ng/L),Geometric mean methylmercury concentration of all filtered water samples from a particular site in nanograms per liter,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,J,"Geometric Mean Sediment Total Mercury, Dry (ng/g)",Geometric mean total mercury concentration of all dry sediment samples from a particular site in nanograms per gram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,K,"Geometric Mean Sediment Methylmercury, Dry (ng/g)",Geometric mean methylmercury concentration of all dry sediment samples from a particular site in nanograms per gram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,L,"Geometric Mean Invertebrates Total Mercury, Wet (micrograms/g)",Geometric mean total mercury concentration of all invertebrate wet samples from a particular site in micrograms per gram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,M,"Geometric Mean Invertebrates Methylmercury, Wet (micrograms/g)",Geometric mean methylmercury concentration of all invertebrate wet samples from a particular site in micrograms per gram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,N,"Geometric Mean Frogs Total Mercury, Wet (micrograms/g)",Geometric mean total mercury concentration of all frog wet samples from a particular site in micrograms per gram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,O,"Geometric Mean Fish Total Mercury, Dry (mg/kg)",Geometric mean total mercury concentration of all dry fish samples from a particular site in milligams per kilogram,"0, not determined"
15,T15_GeometricMean_MercuryConcentrations,P,"Geometric Mean Fish Total Mercury, Wet (mg/kg)",Geometric mean total mercury concentration of all wet fish samples from a particular site in milligams per kilogram,"0, not determined"
16,T16_Normalized_Mercury_Values,A,Station Map ID,Map reference identification number ,
16,T16_Normalized_Mercury_Values,B,USGS Station Name,U.S. Geological Survey station name,
16,T16_Normalized_Mercury_Values,C,USGS Station Number,U.S. Geological Survey station number,
16,T16_Normalized_Mercury_Values,D,Latitude,Station latitude referenced to the North American Datum of 1983,
16,T16_Normalized_Mercury_Values,E,Longitude,Station longitude referenced to the North American Datum of 1983,
16,T16_Normalized_Mercury_Values,F,Water Mercury Normalized Average,Normalized average mercury value for water samples at a single site,"0, not determined"
16,T16_Normalized_Mercury_Values,G,Sediment Mercury Normalized Average,Normalized average mercury value for sediment samples at a single site,"0, not determined"
16,T16_Normalized_Mercury_Values,H,Biota Mercury Normalized Average,Normalized average mercury value for biota samples at a single site,"0, not determined"
16,T16_Normalized_Mercury_Values,I,Integrated Mercury Average,"Average integrated mercury value based on the normalized average mercury values for water, sediment and biota",
