Station Map ID,USGS Station Name,USGS Station Number,Date,Sample Type,Data References,Common Name,Genus and Species,Sample Size,Live Weight (g),Sample Weight (g),Total Length (mm),Moisture (percent),"Total Mercury, Wet (micrograms/g)",Age ,Gender
BR-88,SOUTHERN CROSS POND NICHOLS DIGGINGS NR DUTCH FLAT,3.91235E+14,9/30/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,8,ND,41.1,81.2,0.08,Juvenile,Female
BR-88,SOUTHERN CROSS POND NICHOLS DIGGINGS NR DUTCH FLAT,3.91235E+14,9/30/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,8.5,8.4,43.6,79.8,0.1,Juvenile,Female
BR-88,SOUTHERN CROSS POND NICHOLS DIGGINGS NR DUTCH FLAT,3.91235E+14,9/30/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,4.8,4.7,35.3,80.2,0.189,Juvenile,Male
BR-90,SOUTHERN CROSS MINE TUNNEL DISCHARGE NR DUTCH FLAT,3.91241E+14,9/30/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.8,6.7,37.9,74.8,0.062,Adult,Female
BR-90,SOUTHERN CROSS MINE TUNNEL DISCHARGE NR DUTCH FLAT,3.91241E+14,9/30/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3.1,2.6,30.5,74.4,0.066,Adult,Male
BR-90,SOUTHERN CROSS MINE TUNNEL DISCHARGE NR DUTCH FLAT,3.91241E+14,9/30/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,7.8,7.7,44.3,77.9,0.069,Adult,Female
BR-90,SOUTHERN CROSS MINE TUNNEL DISCHARGE NR DUTCH FLAT,3.91241E+14,9/30/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.8,4.2,33.5,74.6,0.099,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/16/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,21.3,18.9,49.3,77.5,0.099,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/16/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,52.6,49,67,71.2,0.227,Adult,Female
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/16/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,18.2,17.2,48.5,80.2,0.032,Juvenile,Female
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/12/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,11.7,10.7,45.3,80.4,0.097,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/12/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,13.6,12.7,49.8,77.8,0.134,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,9/12/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,26.2,25.1,59.9,77.3,0.16,Adult,Female
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,10/16/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,15,14.5,53.3,79.9,0.066,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,10/16/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,15,13.7,49.5,80.6,0.067,Adult,Female
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,10/16/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,38.5,36.5,72.1,78.6,0.142,Adult,Female
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,7/22/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,7.2,6.5,42.2,78.9,0.065,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,7/22/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,6.6,6.4,42,79.5,0.07,Adult,Male
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,7/22/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,7.6,7,43.6,77,0.093,Adult,Male
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,8/26/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,4,8.2,6.9,ND,81.7,0.039,Juvenile,ND
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3,2.7,33.4,79.8,0.055,Adult,Male
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3.6,3.2,33.1,79.2,0.083,Adult,Female
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.6,5.2,38.8,75.2,0.142,Adult,Female
BR-97,WF WILCOX DR TUNNEL OUTLET NR CHICAGO PARK CA,3.91208E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.8,5.5,42,77.8,0.085,Adult,Female
BR-97,WF WILCOX DR TUNNEL OUTLET NR CHICAGO PARK CA,3.91208E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.4,6,41.1,75.2,0.106,Adult,Female
BR-97,WF WILCOX DR TUNNEL OUTLET NR CHICAGO PARK CA,3.91208E+14,9/25/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.4,5,38.2,75.8,0.108,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/2/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3.3,3.2,31,77.9,0.067,Adult,ND
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/2/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.1,3.2,32.2,76.7,0.083,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/2/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.9,4.5,34.3,75.2,0.084,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/2/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.7,6.6,38.8,75.9,0.107,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/2/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,3,6.6,6.5,ND,80.3,0.069,Juvenile,ND
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/12/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.1,5.5,39.2,80,0.076,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,9/12/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.3,4.7,39.4,77.6,0.159,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,10/16/2001,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3.4,3.2,34.5,77,0.086,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,10/16/2001,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.9,4.7,35.6,76.2,0.142,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,10/16/2001,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,3.9,3.6,35.4,72.9,0.142,Adult,Male
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,7/22/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,10.6,9.8,49.5,72.3,0.141,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,7/22/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.6,6.1,44.3,76.1,0.188,Adult,Female
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,7/22/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,2.9,2.4,34.7,78.5,0.064,Juvenile,ND
DC-06,SCOTTS FLAT RES NR NEVADA CITY CA,11418250,9/7/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,263.8,254.3,120.1,78.1,0.056,Adult,Female
DC-07,DEER C RES N SHORE NR NEVADA CITY CA,3.91615E+14,9/16/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,191.6,186.6,117.7,80.2,0.06,Adult,Male
DC-07,DEER C RES N SHORE NR NEVADA CITY CA,3.91615E+14,9/16/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,151.4,139.9,110.6,76.1,0.07,Adult,Male
DC-07,DEER C RES N SHORE NR NEVADA CITY CA,3.91615E+14,9/16/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,35.5,34.9,72,79.4,0.038,Juvenile,Male
LY-11,WETLANDS POND NE OF S POND IN YUBA GOLDFIELDS,3.913E+14,7/17/2003,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,0.9,0.8,21.8,77.1,0.058,Adult,ND
LY-11,WETLANDS POND NE OF S POND IN YUBA GOLDFIELDS,3.913E+14,7/17/2003,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,0.9,0.9,22.5,74.9,0.061,Adult,Male
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,1.2,1.1,25.5,77,0.085,Adult,ND
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,0.7,0.7,21.3,77.4,0.088,Juvenile,ND
LY-16,T POND IN YUBA GOLDFIELDS NR HAMMONTON CA,3.91259E+14,7/17/2003,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,86.9,79.5,96.1,80.5,0.194,Adult,Female
LY-16,T POND IN YUBA GOLDFIELDS NR HAMMONTON CA,3.91259E+14,7/17/2003,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,76.6,68,95.5,80.8,0.138,Adult,Female
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,31.5,29.4,64.9,79.9,0.052,Adult,Female
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,23,21.7,57.5,79.1,0.074,Adult,Male
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,29.3,26.8,61.5,79.8,0.103,Adult,Male
SY-12,ALPHA PIT MARSH NR WASHINGTON CA,3.92003E+14,7/29/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,3,ND,1.1,ND,84.6,0.037,Juvenile,ND
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,7/29/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,3,ND,0.6,ND,81.1,0.027,Juvenile,ND
SY-19,LEDU MINE TUNNEL DISCHARGE NR NORTH BLOOMFIELD CA,3.92151E+14,5/15/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,15.1,14.7,56.4,85.1,0.025,Adult,ND
SY-19,LEDU MINE TUNNEL DISCHARGE NR NORTH BLOOMFIELD CA,3.92151E+14,5/15/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,25.3,23.8,60.5,76.1,0.118,Adult,Female
SY-19,LEDU MINE TUNNEL DISCHARGE NR NORTH BLOOMFIELD CA,3.92151E+14,5/15/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.8,4.7,39.4,74.9,0.088,Adult,Female
SY-19,LEDU MINE TUNNEL DISCHARGE NR NORTH BLOOMFIELD CA,3.92151E+14,5/15/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.5,4.2,42.6,78.8,0.095,Adult,Female
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,9/15/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,77,74.3,87.7,74.6,0.052,Adult,Female
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,8/20/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,206.2,200.9,115.4,78.9,0.121,Adult,Female
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,9/15/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,377.3,372.2,130.2,76.1,0.181,Adult,Male
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,8/20/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,135.7,132.7,128.1,80.2,0.188,Adult,Male
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,9/15/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,304,286.2,129.5,78.1,0.272,Adult,Male
SY-25,MALAKOFF DIGGINGS LK CITY TNNL DISCH NR N BLMFLD,3.92111E+14,8/20/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,8.2,7.1,38,77.2,0.052,Adult,Female
SY-26,HUMBUG C ABV FALLS NR NEVADA CITY CA,3.92057E+14,9/3/1999,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,448.5,397.6,138.4,73.2,0.112,Adult,Female
SY-26,HUMBUG C ABV FALLS NR NEVADA CITY CA,3.92057E+14,9/3/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,32.6,28.4,61,73.3,0.015,Adult,Female
SY-26,HUMBUG C ABV FALLS NR NEVADA CITY CA,3.92057E+14,9/3/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,38.5,33.4,59.1,74.5,0.081,Adult,Female
SY-26,HUMBUG C ABV FALLS NR NEVADA CITY CA,3.92057E+14,9/3/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,2.6,2.4,29.7,80.9,0.017,Adult,Male
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,3.92051E+14,8/20/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.7,4.8,38.2,77,0.091,Adult,Male
SY-28,HUMBUG C BLW FALLS NR NEVADA CITY CA,3.9204E+14,9/3/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,10.6,9.8,42.8,80.8,0.001,Adult,Male
SY-28,HUMBUG C BLW FALLS NR NEVADA CITY CA,3.9204E+14,8/20/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,36.4,33.6,60.8,79.9,0.082,Adult,Female
SY-28,HUMBUG C BLW FALLS NR NEVADA CITY CA,3.9204E+14,9/3/1999,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,4.4,3.6,31.3,81.9,0.02,Adult,Male
SY-31,RELIEF HILL UPPER POND NR NORTH BLOOMFIELD CA,3.9212E+14,7/30/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,0.7,0.6,22.4,78.6,0.054,Juvenile,ND
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,9/28/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,17.2,16.7,49.3,74.3,0.105,Adult,Male
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,9/28/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,2,4.5,3.7,ND,82.3,0.025,Juvenile,ND
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/6/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,13.9,12.5,49.1,77,0.047,Adult,Female
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/6/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,39.8,36.2,64.7,76.3,0.173,Adult,Female
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/6/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,36.2,34.4,66.1,74,0.175,Adult,Female
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/17/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,29.5,27.3,65.1,79.4,0.062,Adult,Female
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/17/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,21.6,20.2,56,80.5,0.066,Adult,Female
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,10/17/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,52.3,50.8,77.2,72.3,0.153,Adult,Female
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,9/2/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,41.6,39.5,58.1,74.6,0.034,Adult,Female
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,9/2/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,42.4,40,61.8,77.1,0.041,Adult,Female
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,9/2/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,39.2,36.7,56.7,76,0.059,Adult,Female
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,7/23/2002,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,8.7,8,44.5,80.5,0.048,Juvenile,ND
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,7/23/2002,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,11,10,51.6,83.5,0.102,Juvenile,ND
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,7/23/2002,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,13.4,13.1,54.3,81.5,0.117,Juvenile,ND
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,3.92116E+14,9/2/1999,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,34.8,33.5,65.3,79.6,0.077,Adult,Female
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,3.92116E+14,7/29/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,26.3,24.7,61.7,76.3,0.068,Adult,Female
TR-17,EASTMAN DREDGE POND NO 2 NR LEWISTON CA,4.04509E+14,10/23/2000,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,17.3,16.8,53.9,77.8,0.007,Juvenile,ND
TR-17,EASTMAN DREDGE POND NO 2 NR LEWISTON CA,4.04509E+14,10/23/2000,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,23.5,22.3,57.7,76.8,0.015,Juvenile,Female
TR-17,EASTMAN DREDGE POND NO 2 NR LEWISTON CA,4.04509E+14,10/23/2000,Environmental,NP,Bullfrog,Lithobates catesbeianus,1,40.7,37.9,70,78.1,0.116,Juvenile,ND
TR-19,BOLTS HILL MINE TUNNEL OUTLET NR LEWISTON CA,4.045E+14,9/13/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.9,5,35.6,80.1,0.038,Adult,ND
TR-19,BOLTS HILL MINE TUNNEL OUTLET NR LEWISTON CA,4.045E+14,9/13/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,6.5,5.6,39.4,78.8,0.049,Adult,ND
TR-19,BOLTS HILL MINE TUNNEL OUTLET NR LEWISTON CA,4.045E+14,7/18/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,8.3,7.4,43.6,73.8,0.062,Adult,Female
TR-22,UNION HILL GULCH NR DOUGLAS CITY CA,4.03927E+14,10/25/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,9.7,9.3,42,79.5,0.052,Juvenile,Male
TR-25,HAS MINE TUNNEL INLET NR JUNCTION CITY CA,4.04345E+14,10/24/2000,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,5.2,4.9,38.1,75.6,0.029,Adult,Male
TR-30,TRINITY R AB COFFEE C NR TRINITY CENTER CA,11523200,9/12/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,18.2,16.2,49.5,81,0.029,Adult,Female
TR-30,TRINITY R AB COFFEE C NR TRINITY CENTER CA,11523200,9/12/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,12.4,10.9,44.4,81,0.032,Adult,Female
TR-04,EF TRINITY R US ALTOONA MINE DRAIN NR CASTELLA CA,4.10736E+14,9/11/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,32.6,30.1,60.4,77.7,0.118,Adult,Female
TR-04,EF TRINITY R US ALTOONA MINE DRAIN NR CASTELLA CA,4.10736E+14,9/11/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,4.4,3.7,34.3,81.7,0.071,Juvenile,ND
TR-04,EF TRINITY R US ALTOONA MINE DRAIN NR CASTELLA CA,4.10736E+14,8/13/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,18.5,17.8,59.7,75.6,0.459,Adult,Male
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,9/4/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,5.1,4.9,37.7,78.5,0.232,Adult,Female
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,9/4/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,0.8,0.7,20.4,84.7,0.363,Juvenile,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,9/4/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,0.5,0.4,16.7,82.8,0.411,Juvenile,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,9/4/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,0.4,0.4,16.6,76.1,0.559,Juvenile,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,9/4/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,0.5,0.4,17.3,77.6,0.755,Juvenile,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,9,7.3,41.9,81.2,0.155,Adult,Female
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,5.8,5.3,39.8,80.4,0.239,Adult,Male
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,8.2,7.7,45.1,81.3,0.312,Adult,Male
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,20.6,19.5,57.2,76.4,0.489,Adult,Male
TR-07,ALTOONA MINE WETLANDS NR TRINITY CENTER CA,4.00502E+14,9/11/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,40.4,37.7,70.4,74.9,0.658,Adult,Female
TR-07,ALTOONA MINE WETLANDS NR TRINITY CENTER CA,4.00502E+14,9/11/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,35.3,32.7,62,74.5,0.75,Adult,Female
TR-07,ALTOONA MINE WETLANDS NR TRINITY CENTER CA,4.00502E+14,9/11/2000,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,5,4.3,35.9,79.6,0.294,Juvenile,ND
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,8/12/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,42.6,39.2,72,76.1,0.211,Adult,Female
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,9/5/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,8.2,7.7,44.2,81.8,0.051,Adult,Female
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,9/5/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,10.4,9.3,47.7,81.7,0.063,Adult,Male
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,9/5/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,2.2,1.9,27.6,81,0.02,Juvenile,ND
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,9/5/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,2.6,2,27.4,84.3,0.028,Juvenile,ND
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,9/5/2001,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,2.2,1.9,28.5,81.7,0.031,Juvenile,ND
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/12/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,10.1,9,45.9,78.9,0.048,Adult,Male
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/12/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,7.7,6.8,41.8,79.7,0.064,Adult,Female
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/12/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,12.5,12.1,50.8,77.3,0.1,Adult,Male
