Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Delta-18O SO4 (per mil VSMOW),Delta-34S SO4 (per mil CDT),Delta-18O H2O (per mil VSMOW),Delta-D H2O (per mil VSMOW),"Nitrogen, ammonia, filtered (mg/L)","Nigrogen, ammonia plus organic, filtered (mg/L)","Nitrogen, ammonia plus organic, unfiltered (mg/L)","Nitrogen, nitrite plus nitrate, filtered (mg/L)","Nitrogen, nitrite, filtered (mg/L)","Total nitrogen, particulate (mg/L)","Total phosphorus, filtered (mg/L)","Phosphorous, orthophosphate, filtered (mg/)","Total phosphorus, unfiltered (mg/L)","Carbon, inorganic plus organic, particulate (mg/L)","Carbon, organic, filtered (mg/L)","Carbon, organic, particulate (mg/L)","Alkalinity, laboratory (mg/L as CaCO3)",Chloride (mg/L),Sulfate (mg/L)
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,2/21/2001,10:30,Environmental,-3.7,-8.9,-11.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.1,94
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,2/21/2001,10:31,Laboratory Replicate,-3.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,11/6/2002,13:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.06,0.14,E.004,ND,E.004,<.02,0.006,ND,0.5,<.2,ND,2.3,0.04
AR-05,GOLD RUN MINE POND NR INDIANA RAVINE NR GOLD RUN,3.90932E+14,2/21/2001,12:30,Environmental,0.3,-6.4,-11,-80.3,E.02,<.10,0.09,<.05,<.006,ND,<.006,<.02,0.007,ND,1.1,0.2,ND,0.64,170
AR-06,KEYSTONE MINE TUNNEL OUTLET NR FORRESTHILLS CA,3.90305E+14,11/6/2002,17:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,E.05,<.008,ND,0.039,0.04,0.165,ND,E.2,<.2,69,1.3,7.6
AR-07,GLEESON DIGGINS MAIN SLUICE CUT NR IOWA HILL CA,3.90455E+14,2/7/2002,15:00,Environmental,ND,ND,ND,ND,<.04,<.10,0.19,<.05,<.008,ND,E.003,<.02,0.007,ND,0.6,<.2,ND,0.8,0.04
AR-09,JUPITER MINE TUNNEL MIDWAY A SLUICE CUT,3.90629E+14,2/7/2002,13:00,Environmental,2.3,-26.2,-10.2,-70.7,<.04,<.10,E.08,E.03,<.008,ND,E.004,<.02,E.003,ND,1.3,<.2,ND,1.6,54
AR-09,JUPITER MINE TUNNEL MIDWAY A SLUICE CUT,3.90629E+14,2/7/2002,13:01,Laboratory Replicate,2.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AR-10,AMERICAN R A FAIR OAKS CA,11446500,6/23/2003,11:30,Environmental,ND,ND,ND,ND,<.04,E.06,E.09,<.06,<.008,<.02,E.003,<.02,0.005,0.1,1.5,0.2,20,ND,ND
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,16:40,Environmental,ND,ND,ND,ND,<.04,0.3,0.66,<.06,<.008,0.34,0.016,<.02,0.067,2.2,3.8,2.1,128,ND,ND
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,17:50,Environmental,ND,ND,ND,ND,E.04,0.63,3.4,<.06,<.008,2.16,0.028,<.02,0.193,13.1,6.3,13.1,117,ND,ND
AR-12,ALDER C A PRAIRIE CITY RD NR FOLSOM CA,3.83824E+14,6/19/2003,14:20,Environmental,ND,ND,ND,ND,<.04,0.33,0.37,<.06,<.008,<.02,0.041,0.03,0.052,0.2,4.8,0.2,165,ND,ND
AR-13,ALDER C A FOLSOM BLVD NR NIMBUS CA,3.83816E+14,6/19/2003,9:40,Environmental,ND,ND,ND,ND,<.04,0.13,0.22,0.13,<.008,<.02,0.048,0.04,0.06,0.1,2.9,0.1,138,ND,ND
AR-14,UNNAMED TRIB TO ALDER C NR FOLSOM CA,3.83834E+14,6/20/2003,12:10,Environmental,ND,ND,ND,ND,<.04,0.32,0.36,<.06,<.008,0.02,0.048,0.03,0.059,0.2,4.6,0.2,166,ND,ND
AR-15,WILLOW C .1 MI US LK NATOMA NR FOLSOM CA,3.83859E+14,6/19/2003,11:50,Environmental,ND,ND,ND,ND,<.04,0.14,0.27,<.06,<.008,<.02,0.028,0.02,0.051,0.2,2.4,0.2,109,ND,ND
AR-16,WILLOW C A E BIDWELL ST NR FOLSOM CA,3.84006E+14,6/20/2003,10:10,Environmental,ND,ND,ND,ND,<.04,0.31,0.32,E.05,<.008,<.02,0.037,0.02,0.054,0.1,4.6,0.1,130,ND,ND
AR-17,WILLOW C A GOLF LINKS DRIVE NR FOLSOM CA,3.8403E+14,6/20/2003,15:10,Environmental,ND,ND,ND,ND,<.04,0.29,0.31,0.09,<.008,<.02,0.02,<.02,0.027,0.1,3.7,0.1,121,ND,ND
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,12:30,Environmental,ND,ND,ND,ND,<.04,E.07,0.16,E.03,<.008,0.07,0.008,<.02,0.017,0.8,1.9,0.8,23,ND,ND
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,13:10,Environmental,ND,ND,ND,ND,<.04,E.06,0.16,<.06,<.008,0.03,0.009,<.02,0.017,0.3,1.9,0.3,41,ND,ND
AR-19,WILLOW C A SIBLEY RD NR FOLSOM CA,3.83927E+14,6/19/2003,16:00,Environmental,ND,ND,ND,ND,<.04,0.21,0.26,0.09,<.008,<.02,0.039,0.03,0.052,0.3,2.6,0.2,104,ND,ND
AR-20,HUMBUG C A E BIDWELL ST NR FOLSOM CA,3.8401E+14,6/20/2003,8:50,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,106,ND,ND
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,9/30/1999,13:00,Environmental,ND,ND,ND,ND,0.07,0.15,0.3,<.05,<.010,ND,<.006,<.01,0.059,ND,1,0.6,25,ND,ND
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,10/1/1999,17:50,Environmental,ND,ND,ND,ND,0.04,E.09,0.15,<.05,<.010,ND,<.006,<.01,0.011,ND,1.1,0.3,ND,ND,ND
BR-04,BEAR R AB GRVL PLNT AB STEEPHOLLOW C CHICAGO PARK,3.91038E+14,1/26/2000,11:50,Environmental,ND,ND,ND,ND,<.02,<.10,<.10,0.08,<.010,ND,<.006,<.01,<.05,ND,1,<.2,20,ND,ND
BR-06,BEAR R BL WOLF C NR LUCAS HILL CA,3.90107E+14,2/7/2002,12:30,Environmental,ND,ND,-11,-85.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-07,BEAR R NR WHEATLAND CA,11424000,6/23/1999,11:00,Environmental,ND,ND,-10.2,-73.4,<.02,0.14,0.13,0.06,<.010,ND,<.004,0.01,0.005,ND,1.5,0.2,30,ND,ND
BR-08,BEAR R A PLEASANT GROVE RD NR SHERIDAN CA,3.85904E+14,3/19/2003,11:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,24,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/21/2001,12:10,Environmental,2.1,-12.2,-9.9,-68.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,2/21/2002,15:10,Environmental,2.4,-11.4,-9.5,-67.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.8,8
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/4/2002,11:10,Environmental,6,-5.9,-9.4,-62.5,<.04,<.10,E.09,E.05,<.008,ND,E.004,<.02,0.004,ND,0.4,<.2,ND,0.7,18
BR-13,BOSTON MINE LOWER POND SITE 3 NR GRASS VALLEY CA,3.91343E+14,8/27/2002,16:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,33,0.87,1.5
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,12/14/1999,10:30,Environmental,ND,ND,ND,ND,<.02,E.09,0.15,<.05,<.010,ND,E.005,<.01,0.011,ND,2.1,0.3,ND,ND,ND
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,5/24/2000,16:30,Environmental,ND,ND,ND,ND,<.02,0.19,0.26,<.05,<.010,ND,0.008,<.01,0.025,ND,3.1,0.5,ND,ND,ND
BR-18,BOSTON MINE TUNNEL INFLOW A BULKHEAD NR GOLD RUN,3.91346E+14,12/4/2002,13:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.72,17
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,2/21/2002,15:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,<.004,<.02,E.002,ND,0.6,<.2,ND,ND,ND
BR-25,BUCKEYE FLAT MINE UPPER DRAIN TO GREENHORN C,3.91453E+14,4/9/2001,10:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.67,44
BR-28,BUCKEYE FLAT MINE DRAIN .06 MI AB GREENHORN C,3.91416E+14,2/21/2002,15:00,Environmental,-1.3,-19.1,-9.8,-68,<.04,<.10,<.10,<.05,<.008,ND,E.003,<.02,<.004,ND,0.5,0.2,ND,ND,ND
BR-30,GREENHORN C NR HEADWATERS NR SCOTTS FLAT RES,3.91657E+14,2/21/2002,19:40,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.78,0.71
BR-35,GREENHORN C BL GAS CYN NR GRASS VALLEY CA,3.91434E+14,2/21/2002,16:30,Environmental,ND,ND,-10.6,-72.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.1,3.9
BR-39,GREENHORN C .2 MI BL THE NARROWS,3.91329E+14,2/21/2002,15:00,Environmental,-1.5,-8.6,-10.5,-73.6,<.04,<.10,E.05,E.04,<.008,ND,<.004,<.02,0.023,ND,0.7,0.3,ND,1.1,6.5
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/22/2002,11:10,Environmental,0.2,-8.1,-10.2,-71,<.04,<.10,<.10,0.06,<.008,ND,<.004,<.02,0.005,ND,0.7,<.2,12,1.3,9.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/6/2002,11:00,Environmental,-1,ND,-10.4,-72.5,<.04,<.10,<.10,0.06,<.008,ND,E.002,<.02,E.002,ND,0.5,<.2,12,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/21/2002,11:00,Environmental,-1.1,-10.1,-10.3,-71.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/12/2002,13:20,Environmental,ND,-9,-10.3,-71.9,<.04,<.10,E.09,0.05,<.008,ND,<.004,<.02,0.11,ND,0.6,0.5,10,1.2,5.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/12/2002,13:21,Laboratory Replicate,ND,-8.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/9/2002,14:00,Environmental,-0.3,-7.7,-10.3,-70.5,<.04,<.10,<.10,<.05,<.008,ND,<.004,<.02,0.004,ND,0.5,<.2,13,1.5,7.7
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/9/2002,14:01,Laboratory Replicate,ND,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,5/6/2002,13:20,Environmental,ND,-7.9,-10.1,-69.4,<.04,E.06,<.10,<.05,<.008,ND,<.004,<.02,0.008,ND,0.7,<.2,15,1.3,11
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,6/17/2002,11:40,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,<.004,<.02,E.004,ND,0.5,<.2,14,1.5,11
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/8/2002,13:00,Environmental,0.1,-8.5,-10.1,-72.8,<.04,<.10,E.06,E.02,<.008,ND,<.004,<.02,0.004,ND,0.5,<.2,13,1.5,12
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/8/2002,13:01,Laboratory Replicate,ND,ND,ND,-72.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,8/20/2002,13:20,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,<.004,<.02,E.003,ND,0.6,<.2,11,1.7,1.8
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,9/9/2002,10:00,Environmental,0.4,-8.9,-9.9,-71.6,<.04,<.10,<.10,<.05,<.008,ND,E.002,<.02,E.002,ND,0.5,<.2,12,1.2,14
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/17/2002,10:10,Environmental,0.8,-8.5,-9.8,-69.4,<.04,<.10,E.06,<.06,<.008,ND,E.002,<.02,E.003,ND,0.5,<.2,9,1.5,18
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,11/12/2002,11:00,Environmental,1.7,-8.6,-9.2,-64,<.04,E.08,1.1,0.16,<.008,ND,E.003,<.02,0.026,ND,1.7,<.2,11,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,12/18/2002,14:40,Environmental,1.6,-8.3,ND,ND,<.04,E.08,0.12,0.11,<.008,0.06,E.003,<.02,0.159,1.4,1.5,1.2,ND,1.8,11
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/13/2003,13:20,Environmental,-0.5,-7.2,ND,ND,<.04,E.07,<.10,E.04,<.008,0.05,E.002,<.02,0.067,0.3,0.9,0.2,ND,1.5,8.3
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/5/2003,13:20,Environmental,-0.5,-7.3,ND,ND,<.04,<.10,E.06,E.03,<.008,<.02,<.004,<.02,<.004,<.1,0.6,<.12,14,1.5,10
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/5/2003,13:21,Laboratory Replicate,-0.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:00,Environmental,-0.2,-7.2,ND,ND,<.04,E.09,0.21,0.09,E.007,<.02,0.011,<.02,0.094,<.1,2.3,<.12,13,1.6,8.4
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:01,Laboratory Replicate,0.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/15/2003,9:30,Environmental,0.5,-8.7,ND,ND,<.04,0.11,0.75,0.09,<.008,0.84,E.003,<.02,0.83,12.4,3.9,11.6,5,0.94,5.1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:50,Environmental,ND,ND,ND,ND,<.04,<.10,0.14,E.05,<.008,0.1,0.007,<.02,0.187,1.1,1.1,0.8,20,1.2,5.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:52,Field Replicate,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,1.2,5.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,5/12/2003,11:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.06,<.008,<.02,0.004,<.02,0.098,0.2,0.9,<.12,12,1.2,6.6
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/1/2003,7:50,Environmental,ND,ND,ND,ND,<.04,E.06,E.06,<.06,<.008,<.02,<.004,<.02,0.008,<.1,0.6,<.12,12,4.1,3.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/14/2003,12:50,Environmental,ND,ND,ND,ND,<.04,<.10,E.06,<.06,<.008,<.02,E.003,<.02,E.002,<.1,1,<.12,15,1.6,12
BR-41,LITTLE GREENHORN C A GREENHORN C,3.91119E+14,2/21/2002,10:50,Environmental,ND,ND,ND,ND,<.04,E.05,0.7,0.19,<.008,ND,E.003,<.02,0.009,ND,1.3,0.2,ND,2,4.2
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,2/21/2002,17:30,Environmental,-1.2,-11.3,-10,-71.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.92,29
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,2/21/2002,17:31,Laboratory Replicate,ND,ND,ND,-71,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-50,POORE MINE C BL TUNNEL NR GRASS VALLEY CA,3.91343E+14,2/21/2002,17:20,Environmental,0.3,-12.5,-10.1,-69,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.3,5.8
